S.No.,Program,Sem,Section,Batch,Name of the Module,Theory Hours per week,Practicals Hours per week,Tutorials Hours per week,TheoryLoad,Practical Load,Total,Faculty
1,BTECH_AIDS,1,A,2,Calculus,3,0,1,3,2,5,NA
2,BTECH_AIDS,1,A,2,Physics,3,2,0,3,4,7,MJ
3,BTECH_AIDS,1,A,2,Basic Electrical and Electronics Engineering,2,2,0,2,4,6,DR. ABHINAV Pathak THEORY+Golghate (Lab)
4,BTECH_AIDS,1,A,2,Computational Thinking for Problem Solving,3,2,0,3,4,7,ADS
5,BTECH_AIDS,1,A,2,Engineering Graphics and Design,1,2,0,1,4,5,Rajesh Rathore
6,BTECH_AIDS,1,A,2,Essential Electronics Practices,0,2,0,0,4,4,Chintan Patel
7,BTECH_AIDS,1,A,2,Engineering Ethics,1,0,0,1,0,1,Anjali Sojatiya (VF)
8,BTECH_AIDS,1,A,2,Indian Knowledge System,1,0,0,1,0,1,AC
9,BTECH_AIDS,1,B,1,Calculus,3,0,1,3,1,4,NA
10,BTECH_AIDS,1,B,1,Physics,3,2,0,3,2,5,MJ
11,BTECH_AIDS,1,B,1,Basic Electrical and Electronics Engineering,2,2,0,2,2,4,DR. ABHINAV Pathak THEORY+Golghate (Lab)
12,BTECH_AIDS,1,B,1,Computational Thinking for Problem Solving,3,2,0,3,2,5,ADS
13,BTECH_AIDS,1,B,1,Engineering Graphics and Design,1,2,0,1,2,3,Rajesh Rathore
14,BTECH_AIDS,1,B,1,Essential Electronics Practices,0,2,0,0,2,2,Chintan Patel
15,BTECH_AIDS,1,B,1,Engineering Ethics,1,0,0,1,0,1,Anjali Sojatiya (VF)
16,BTECH_AIDS,1,B,1,Indian Knowledge System,1,0,0,1,0,1,AC
