S.No.,Program,Sem,Section,Batch,Name of the Module,Theory Hours per week,Practicals Hours per week,Tutorials Hours per week,TheoryLoad,Practical Load,Total,Faculty
1,MBATECH_CE,1,A,2,Calculus,3,0,1,3,2,5,NG
2,MBATECH_CE,1,A,2,Physics,3,2,0,3,4,7,VF (Theory)+Sheetal sisodiya (Lab)
3,MBATECH_CE,1,A,2,Elements of Biology,2,0,1,2,2,4,SUMAN VERMA
4,MBATECH_CE,1,A,2,Computational Thinking for Problem Solving,3,2,0,3,4,7,SG
5,MBATECH_CE,1,A,2,Engineering Graphics and Design,1,2,0,1,4,5,PS
6,MBATECH_CE,1,A,2,Essential Electronics Practices,0,2,0,0,4,4,Chintan Patel
7,MBATECH_CE,1,A,2,Engineering Ethics,1,0,0,1,0,1,Anjali Sojatiya (VF)
8,MBATECH_CE,1,A,2,Indian Knowledge System,1,0,0,1,0,1,AC
9,MBATECH_CE,1,A,2,Principal of Management,1,0,0,1,0,1,NA
10,MBATECH_CE,1,A,2,Environmental Studies,1,0,0,1,0,1,SUMAN VERMA
11,MBATECH_CE,1,B,2,Calculus,3,0,1,3,2,5,NG
12,MBATECH_CE,1,B,2,Physics,3,2,0,3,4,7,VF (Theory)+Sheetal sisodiya (Lab)
13,MBATECH_CE,1,B,2,Elements of Biology,2,0,1,2,2,4,SUMAN VERMA
14,MBATECH_CE,1,B,2,Computational Thinking for Problem Solving,3,2,0,3,4,7,SG
15,MBATECH_CE,1,B,2,Engineering Graphics and Design,1,2,0,1,4,5,PS
16,MBATECH_CE,1,B,2,Essential Electronics Practices,0,2,0,0,4,4,Chintan Patel
17,MBATECH_CE,1,B,2,Engineering Ethics,1,0,0,1,0,1,Anjali Sojatiya (VF)
18,MBATECH_CE,1,B,2,Indian Knowledge System,1,0,0,1,0,1,AC
19,MBATECH_CE,1,B,2,Principal of Management,1,0,0,1,0,1,NA
20,MBATECH_CE,1,B,2,Environmental Studies,1,0,0,1,0,1,SUMAN VERMA
