Subject,Class Type,Room No.,Section
Calculus,theory,LH-201,A
Calculus,tutorial,TR-201,A
Physics,theory,LH-201,A
Physics,lab,Physics Lab-1,A
Basic Electrical and Electronics Engineering,theory,LH-201,A
Basic Electrical and Electronics Engineering,lab,Electrical Lab-1,A
Computational Thinking for Problem Solving,theory,LH-201,A
Computational Thinking for Problem Solving,lab,Computer Lab-3,A
Engineering Graphics and Design,theory,LH-201,A
Engineering Graphics and Design,lab,Drawing Hall-1,A
Essential Electronics Practices,lab,Electronics Lab-1,A
Engineering Ethics,theory,LH-201,A
Indian Knowledge System,theory,LH-201,A
Calculus,theory,LH-202,B
Calculus,tutorial,TR-202,B
Physics,theory,LH-202,B
Physics,lab,Physics Lab-2,B
Basic Electrical and Electronics Engineering,theory,LH-202,B
Basic Electrical and Electronics Engineering,lab,Electrical Lab-2,B
Computational Thinking for Problem Solving,theory,LH-202,B
Computational Thinking for Problem Solving,lab,Computer Lab-4,B
Engineering Graphics and Design,theory,LH-202,B
Engineering Graphics and Design,lab,Drawing Hall-2,B
Essential Electronics Practices,lab,Electronics Lab-2,B
Engineering Ethics,theory,LH-202,B
Indian Knowledge System,theory,LH-202,B
