Subject,Class Type,Room No.,Section
Calculus,theory,LH-101,A
Calculus,tutorial,TR-101,A
Physics,theory,LH-101,A
Physics,lab,Physics Lab-1,A
Elements of Biology,theory,LH-101,A
Elements of Biology,tutorial,TR-101,A
Computational Thinking for Problem Solving,theory,LH-101,A
Computational Thinking for Problem Solving,lab,Computer Lab-1,A
Engineering Graphics and Design,theory,LH-101,A
Engineering Graphics and Design,lab,Drawing Hall-1,A
Essential Electronics Practices,lab,Electronics Lab-1,A
Engineering Ethics,theory,LH-101,A
Indian Knowledge System,theory,LH-101,A
Environmental Studies,theory,LH-101,A
Calculus,theory,LH-102,B
Calculus,tutorial,TR-102,B
Physics,theory,LH-102,B
Physics,lab,Physics Lab-2,B
Elements of Biology,theory,LH-102,B
Elements of Biology,tutorial,TR-102,B
Computational Thinking for Problem Solving,theory,LH-102,B
Computational Thinking for Problem Solving,lab,Computer Lab-2,B
Engineering Graphics and Design,theory,LH-102,B
Engineering Graphics and Design,lab,Drawing Hall-2,B
Essential Electronics Practices,lab,Electronics Lab-2,B
Engineering Ethics,theory,LH-102,B
Indian Knowledge System,theory,LH-102,B
Environmental Studies,theory,LH-102,B
