Subject,Class Type,Room No.,Section
Calculus,theory,LH-301,A
Calculus,tutorial,TR-301,A
Physics,theory,LH-301,A
Physics,lab,Physics Lab-3,A
Elements of Biology,theory,LH-301,A
Elements of Biology,tutorial,TR-301,A
Computational Thinking for Problem Solving,theory,LH-301,A
Computational Thinking for Problem Solving,lab,Computer Lab-5,A
Engineering Graphics and Design,theory,LH-301,A
Engineering Graphics and Design,lab,Drawing Hall-3,A
Essential Electronics Practices,lab,Electronics Lab-3,A
Engineering Ethics,theory,LH-301,A
Indian Knowledge System,theory,LH-301,A
Principal of Management,theory,LH-301,A
Environmental Studies,theory,LH-301,A
Calculus,theory,LH-302,B
Calculus,tutorial,TR-302,B
Physics,theory,LH-302,B
Physics,lab,Physics Lab-4,B
Elements of Biology,theory,LH-302,B
Elements of Biology,tutorial,TR-302,B
Computational Thinking for Problem Solving,theory,LH-302,B
Computational Thinking for Problem Solving,lab,Computer Lab-6,B
Engineering Graphics and Design,theory,LH-302,B
Engineering Graphics and Design,lab,Drawing Hall-4,B
Essential Electronics Practices,lab,Electronics Lab-4,B
Engineering Ethics,theory,LH-302,B
Indian Knowledge System,theory,LH-302,B
Principal of Management,theory,LH-302,B
Environmental Studies,theory,LH-302,B
