S.No.,Program,Sem,Section,Batch,Name of the Module,Theory Hours per week,Practicals Hours per week,Tutorials Hours per week,TheoryLoad,Practical Load,Total,Faculty
1,BTECH_AIDS,3,A,2,Discrete Mathematics,2,0,1,2,2,4,AS
2,BTECH_AIDS,3,A,2,Probability and Statistics,2,2,0,2,4,6,NG
3,BTECH_AIDS,3,A,2,Operating Systems,3,2,0,3,4,7,GP
4,BTECH_AIDS,3,A,2,Signal and Image Processing,3,2,0,3,4,7,SO
5,BTECH_AIDS,3,A,2,Data Structures and Algorithms,3,0,0,3,0,3,DG
6,BTECH_AIDS,3,A,2,Data Structures and Algorithms Lab,0,2,0,0,4,4,DG
7,BTECH_AIDS,3,A,2,Program Elective - I - Statistical Learning Theory,2,2,0,2,4,6,VF
8,BTECH_AIDS,3,A,2,Technical Communication,0,0,1,0,2,2,AC
9,BTECH_AIDS,3,A,2,Data Visualization and Interpretation,1,2,0,1,4,5,PM
10,BTECH_AIDS,3,A,2,Community Service,0,0,0,0,0,0,MJ
11,BTECH_AIDS,3,B,1,Discrete Mathematics,2,0,1,2,1,3,AS
12,BTECH_AIDS,3,B,1,Probability and Statistics,2,2,0,2,2,4,NG
13,BTECH_AIDS,3,B,1,Operating Systems,3,2,0,3,2,5,GP
14,BTECH_AIDS,3,B,1,Signal and Image Processing,3,2,0,3,2,5,SO
15,BTECH_AIDS,3,B,1,Data Structures and Algorithms,3,0,0,3,0,3,DG
16,BTECH_AIDS,3,B,1,Data Structures and Algorithms Lab,0,2,0,0,2,2,DG
17,BTECH_AIDS,3,B,1,Program Elective - I - Statistical Learning Theory,2,2,0,2,2,4,VF
18,BTECH_AIDS,3,B,1,Technical Communication,0,0,1,0,1,1,AC
19,BTECH_AIDS,3,B,1,Data Visualization and Interpretation,1,2,0,1,2,3,PM
20,BTECH_AIDS,3,B,1,Community Service,0,0,0,0,0,0,MJ
