S.No.,Program,Sem,Section,Batch,Name of the Module,Theory Hours per week,Practicals Hours per week,Tutorials Hours per week,TheoryLoad,Practical Load,Total,Faculty
1,MBATECH_CE,3,A,2,Signals and Systems,2,2,0,2,4,6,AP
2,MBATECH_CE,3,A,2,Computer Organization and Architecture,3,0,0,3,0,3,PM
3,MBATECH_CE,3,A,2,Data Structures and Algorithms,3,0,0,3,0,3,PM
4,MBATECH_CE,3,A,2,Data Structures and Algorithms Lab,0,2,0,0,4,4,PM
5,MBATECH_CE,3,A,2,Discrete Mathematics,2,0,1,2,2,4,NG
6,MBATECH_CE,3,A,2,Technical Communication,0,0,1,0,2,2,AC
7,MBATECH_CE,3,A,2,Community Service,0,0,0,0,0,0,MJ
8,MBATECH_CE,3,A,2,Programming with Python,1,2,0,1,4,5,HG
9,MBATECH_CE,3,A,2,Management Accounting for Engineers,2,0,0,2,0,2,MG
10,MBATECH_CE,3,B,1,Signals and Systems,2,2,0,2,2,4,AP
11,MBATECH_CE,3,B,1,Computer Organization and Architecture,3,0,0,3,0,3,PM
12,MBATECH_CE,3,B,1,Data Structures and Algorithms,3,0,0,3,0,3,PM
13,MBATECH_CE,3,B,1,Data Structures and Algorithms Lab,0,2,0,0,2,2,PM
14,MBATECH_CE,3,B,1,Discrete Mathematics,2,0,1,2,1,3,NG
15,MBATECH_CE,3,B,1,Technical Communication,0,0,1,0,1,1,AC
16,MBATECH_CE,3,B,1,Community Service,0,0,0,0,0,0,MJ
17,MBATECH_CE,3,B,1,Programming with Python,1,2,0,1,2,3,HG
18,MBATECH_CE,3,B,1,Management Accounting for Engineers,2,0,0,2,0,2,MG
