Subject,Class Type,Room No.,Section
Discrete Mathematics,theory,LH-300,A
Discrete Mathematics,tutorial,TR-300,A
Probability and Statistics,theory,LH-301,A
Probability and Statistics,lab,Lab-301,A
Operating Systems,theory,LH-302,A
Operating Systems,lab,Lab-302,A
Signal and Image Processing,theory,LH-303,A
Signal and Image Processing,lab,Lab-303,A
Data Structures and Algorithms,theory,LH-304,A
Data Structures and Algorithms Lab,lab,Lab-305,A
Program Elective - I - Statistical Learning Theory,theory,LH-306,A
Program Elective - I - Statistical Learning Theory,lab,Lab-306,A
Technical Communication,tutorial,TR-307,A
Data Visualization and Interpretation,theory,LH-308,A
Data Visualization and Interpretation,lab,Lab-308,A
Discrete Mathematics,theory,LH-310,B
Discrete Mathematics,tutorial,TR-310,B
Probability and Statistics,theory,LH-311,B
Probability and Statistics,lab,Lab-311,B
Operating Systems,theory,LH-312,B
Operating Systems,lab,Lab-312,B
Signal and Image Processing,theory,LH-313,B
Signal and Image Processing,lab,Lab-313,B
Data Structures and Algorithms,theory,LH-314,B
Data Structures and Algorithms Lab,lab,Lab-315,B
Program Elective - I - Statistical Learning Theory,theory,LH-316,B
Program Elective - I - Statistical Learning Theory,lab,Lab-316,B
Technical Communication,tutorial,TR-317,B
Data Visualization and Interpretation,theory,LH-318,B
Data Visualization and Interpretation,lab,Lab-318,B
