Subject,Class Type,Room No.,Section
Signals and Systems,theory,LH-300,A
Signals and Systems,lab,Lab-300,A
Computer Organization and Architecture,theory,LH-301,A
Data Structures and Algorithms,theory,LH-302,A
Data Structures and Algorithms Lab,lab,Lab-303,A
Principles of Economics and Management,theory,LH-304,A
Probability and Statistics,theory,LH-305,A
Probability and Statistics,lab,Lab-305,A
Discrete Mathematics,theory,LH-306,A
Discrete Mathematics,tutorial,TR-306,A
Technical Communication,tutorial,TR-307,A
Programming with Python,theory,LH-309,A
Programming with Python,lab,Lab-309,A
Signals and Systems,theory,LH-310,B
Signals and Systems,lab,Lab-310,B
Computer Organization and Architecture,theory,LH-311,B
Data Structures and Algorithms,theory,LH-312,B
Data Structures and Algorithms Lab,lab,Lab-313,B
Principles of Economics and Management,theory,LH-314,B
Probability and Statistics,theory,LH-315,B
Probability and Statistics,lab,Lab-315,B
Discrete Mathematics,theory,LH-316,B
Discrete Mathematics,tutorial,TR-316,B
Technical Communication,tutorial,TR-317,B
Programming with Python,theory,LH-319,B
Programming with Python,lab,Lab-319,B
