Subject,Class Type,Room No.,Section
Signals and Systems,theory,LH-300,A
Signals and Systems,lab,Lab-300,A
Computer Organization and Architecture,theory,LH-301,A
Data Structures and Algorithms,theory,LH-302,A
Data Structures and Algorithms Lab,lab,Lab-303,A
Discrete Mathematics,theory,LH-304,A
Discrete Mathematics,tutorial,TR-304,A
Technical Communication,tutorial,TR-305,A
Programming with Python,theory,LH-307,A
Programming with Python,lab,Lab-307,A
Management Accounting for Engineers,theory,LH-308,A
Signals and Systems,theory,LH-319,B
Signals and Systems,lab,Lab-319,B
Computer Organization and Architecture,theory,LH-310,B
Data Structures and Algorithms,theory,LH-311,B
Data Structures and Algorithms Lab,lab,Lab-312,B
Discrete Mathematics,theory,LH-313,B
Discrete Mathematics,tutorial,TR-313,B
Technical Communication,tutorial,TR-314,B
Programming with Python,theory,LH-316,B
Programming with Python,lab,Lab-316,B
Management Accounting for Engineers,theory,LH-317,B
