S.No.,Program,Sem,Section,Batch,Name of the Module,Theory Hours per week,Practicals Hours per week,Tutorials Hours per week,TheoryLoad,Practical Load,Total,Faculty
1,B.Tech,1,A,2,Calculus,3,0,1,3,0,5,AS+ NA+NG
2,B.Tech,1,A,2,Physics,3,2,0,3,4,7,VF (Theory)-Sheetal sisodiya (Lab)
3,B.Tech,1,A,2,Elements of Biology,2,0,1,2,0,4,SUMAN VERMA
4,B.Tech,1,A,2,Computational Thinking for Problem Solving,3,2,0,3,4,7,JG
5,B.Tech,1,A,2,Engineering Graphics and Design,1,2,0,1,4,5,PS
6,B.Tech,1,A,2,Essential Electronics Practices,0,2,0,0,4,4,Golghate Sir (VF)
7,B.Tech,1,A,2,Engineering Ethics,1,0,0,1,0,1,Anjali Sojatiya (VF)
8,B.Tech,1,A,2,Indian Knowledge System,1,0,0,1,0,1,AC
9,B.Tech,1,A,2,Environmental Studies,1,0,0,1,0,1,SUMAN VERMA
10,B.Tech,1,B,2,Calculus,3,0,1,3,0,5,AS
11,B.Tech,1,B,2,Physics,3,2,0,3,4,7,VF (Theory)-Sheetal sisodiya (Lab)
12,B.Tech,1,B,2,Elements of Biology,2,0,1,2,0,4,SUMAN VERMA
13,B.Tech,1,B,2,Computational Thinking for Problem Solving,3,2,0,3,4,7,SS
14,B.Tech,1,B,2,Engineering Graphics and Design,1,2,0,1,4,5,PS
15,B.Tech,1,B,2,Essential Electronics Practices,0,2,0,0,4,4,Golghate Sir (VF)
16,B.Tech,1,B,2,Engineering Ethics,1,0,0,1,0,1,Anjali Sojatiya (VF)
17,B.Tech,1,B,2,Indian Knowledge System,1,0,0,1,0,1,AC
18,B.Tech,1,B,2,Environmental Studies,1,0,0,1,0,1,SUMAN VERMA
