Subject,Class Type,Room No.
Linear Algebra and Differential Equations,theory,LH-101
Linear Algebra and Differential Equations,lab,ML Lab-1
Quantum Physics,theory,LH-102
Quantum Physics,lab,Physics Lab-1
Object Oriented Programming,theory,LH-103
Object Oriented Programming Lab,lab,CL-201
Basic Electrical and Electronics Engineering,theory,LH-104
Basic Electrical and Electronics Engineering,lab,EE Lab-1
Product Realization,theory,LH-105
Product Realization,lab,Workshop-1
English Communication,theory,LH-106
English Communication,lab,LL-201
Web Development,theory,LH-107
Web Development,lab,CL-202
Web Development,tutorial,CL-202
Constitution of India,theory,LH-108
