Subject,Class Type,Room No.
Principles of Management,theory,Room-301
Principles of Management,tutorial,Room-301
Business Economics,theory,Room-302
Business Economics,tutorial,Room-302
Financial Accounting,theory,Room-303
Financial Accounting,lab,Computer-Lab-5
Financial Accounting,tutorial,Room-303
Business Communication,theory,Room-304
Business Communication,tutorial,Room-304
Business Mathematics,theory,Room-305
Business Mathematics,tutorial,Room-305
Computer Applications in Business,theory,Room-306
Computer Applications in Business,lab,Computer-Lab-6
