Subject,Class Type,Room No.
Financial Accounting-I,theory,Room-307
Financial Accounting-I,tutorial,Room-307
Business Organization,theory,Room-308
Business Organization,tutorial,Room-308
Business Economics-I,theory,Room-309
Business Economics-I,tutorial,Room-309
Business Mathematics,theory,Room-310
Business Mathematics,tutorial,Room-310
English Communication,theory,Room-311
English Communication,tutorial,Room-311
Computer Fundamentals,theory,Room-312
Computer Fundamentals,lab,Computer-Lab-7
